T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,R,_,_,_,_,_,_,_,_
_,_,_,_,_,_,R,R,R,_,_,_,_,_,_,_
_,_,_,_,_,_,R,R,R,_,_,_,_,_,_,_
_,_,_,_,_,_,_,R,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
