T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,S,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,R,_,_,_,_,_,_,_,_
_,_,_,_,_,_,R,R,R,_,_,_,_,_,_,_
_,_,_,_,_,_,R,R,R,_,_,_,_,_,_,_
_,_,_,_,_,_,_,R,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,S,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
"Hello and welcome to the game from the top sign post!"
"Hello and welcome to the game from the bottom sign post!"

